descrição,Série,período,valor,ano
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 2,2º EM,2,"251,65",2025
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 2,2º EM,2,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC GABARITO 2,2º EM,2,"251,65",2025
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 3,2º EM,3,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 3,2º EM,3,"251,65",2025
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 3,2º EM,3,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC GABARITO 3,2º EM,3,"251,65",2025
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 4,2º EM,4,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 4,2º EM,4,"251,65",2025
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 4,2º EM,4,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC GABARITO 4,2º EM,4,"251,65",2025
ENS. MÉDIO 2 SÉRIE: LITERATURA - DOM CASMURRO,2º EM,1,"151,72",2025
ENS. MÉDIO 2 SÉRIE: LITERATURA - O CORTIÇO,2º EM,2,"151,72",2025
ENS. MÉDIO 2 SÉRIE: LITERATURA - TRISTE FIM DE POLICARPO QUARESMA,2º EM,3,"151,72",2025
ENS. MÉDIO 2 SÉRIE: LITERATURAS - ALGUMA POESIA - CAMPO GERAL,2º EM,4,"151,72",2025
JOVENS FOR SCHOOL - 1,2º EM,1,200,2025
JOVENS FOR SCHOOL - 2,2º EM,3,200,2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  1,3º EM,1,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  1,3º EM,1,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  1,3º EM,1,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  1,3º EM,1,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  1,3º EM,1,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  1,3º EM,1,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  2,3º EM,2,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  2,3º EM,2,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  2,3º EM,2,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  2,3º EM,2,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  2,3º EM,2,"162,76",2025
